origin_country,active_flights,avg_altitude,avg_speed
Afghanistan,2,12199.62,217.09
Algeria,15,9675.767142857143,198.33533333333335
Angola,4,4478.655,130.4375
Argentina,29,6367.975384615385,141.98103448275862
Armenia,1,9105.9,145.43
Australia,29,5962.105714285714,135.25344827586207
Austria,129,7786.9111304347825,163.63635658914728
Bahamas,5,1520.952,102.518
Bahrain,14,7932.42,210.98285714285717
Bangladesh,10,7143.75,181.725
Belarus,2,5330.1900000000005,27.92
Belgium,62,8508.902307692308,154.2867741935484
Bolivia,2,12603.48,246.71999999999997
Bosnia and Herzegovina,1,5189.22,101.21
Botswana,1,5478.78,133.76
Brazil,160,7062.743921568628,163.48362500000002
Bulgaria,42,8910.045405405404,189.37690476190477
Cambodia,3,12006.58,246.40666666666667
Canada,518,6931.049258426966,142.47411196911196
Chile,38,7749.770909090909,160.6692105263158
China,172,8310.88,190.3445930232558
Colombia,27,5717.424545454545,117.99481481481482
Congo,1,213.36,58.34
Costa Rica,9,1973.5800000000002,67.56333333333333
Croatia,15,8123.464285714285,178.73933333333335
Cyprus,6,6784.848,144.62166666666667
Czech Republic,40,5427.645789473684,128.33925
Denmark,31,8510.723571428573,179.23451612903224
Dominican Republic,6,6047.740000000001,157.81333333333333
Egypt,57,10723.244999999999,236.3240350877193
Estonia,6,8953.5,138.20000000000002
Ethiopia,12,8347.710000000001,222.30083333333334
Finland,50,6911.174347826088,155.3516
France,215,7015.709680851063,146.92218604651163
Georgia,2,,37.295
Germany,327,6709.451563636363,143.14333333333335
Greece,72,6434.061904761904,141.8738888888889
Guatemala,15,2090.166,40.29333333333333
Hungary,63,8693.170819672132,193.75285714285715
Iceland,18,7444.26375,165.66166666666666
India,166,7997.6597260273975,177.74138554216867
Indonesia,9,6172.200000000001,160.89222222222222
Iraq,2,3032.76,194.875
Ireland,334,8606.629708737864,187.05260479041917
Israel,6,6911.34,85.34166666666665
Italy,54,3517.7412500000005,107.22796296296298
Japan,32,9212.2752,178.53718750000002
Jordan,19,9878.906666666668,243.68157894736842
Kazakhstan,1,9784.08,205.31
Kenya,2,7520.9400000000005,172.85
Kingdom of the Netherlands,133,8770.372195121952,187.51165413533835
Kuwait,17,11237.595,222.15588235294118
Latvia,29,8312.42608695652,164.6262068965517
Lebanon,5,7138.035,223.50799999999998
Libyan Arab Jamahiriya,4,7962.9,202.825
Lithuania,16,8844.914999999999,148.43
Luxembourg,33,7856.474,169.71818181818182
Malaysia,26,6785.775652173913,190.42807692307693
Maldives,1,10309.86,233.32
Malta,259,8587.678048780486,190.56227799227798
Mauritius,2,8183.88,210.98
Mexico,156,7940.353150684932,169.20416666666665
Montenegro,1,10492.74,239.23
Morocco,40,10852.885263157896,225.32350000000002
Myanmar,6,2809.875,93.71666666666665
New Zealand,3,9022.08,74.94
Nigeria,2,13045.439999999999,241.195
Norway,64,6679.264210526316,145.89953125
Oman,10,10701.866666666667,218.497
Pakistan,4,10218.42,199.14
Panama,18,9125.622352941176,190.1038888888889
Paraguay,1,5044.44,138.6
Philippines,17,8500.456363636364,138.24411764705883
Poland,158,8006.961224489796,174.16348101265825
Portugal,78,8137.456615384616,162.82692307692307
Qatar,64,10477.767368421053,254.9328125
Republic of Korea,46,9304.201428571429,198.08999999999997
Republic of Moldova,6,9829.800000000001,228.44833333333335
Romania,30,7202.311111111111,155.694
Russian Federation,43,8816.9115,170.41883720930232
Rwanda,3,4417.06,175.48000000000002
San Marino,18,8264.11411764706,194.67055555555555
Saudi Arabia,36,10598.971764705882,246.64833333333334
Senegal,2,3482.34,136.385
Serbia,10,5515.610000000001,105.30199999999999
Singapore,24,8693.380909090909,197.76625
Slovakia,6,9053.83,193.17666666666665
Slovenia,6,6318.25,144.87833333333333
South Africa,19,5240.767058823529,123.34315789473685
Spain,232,7456.312429906542,170.11112068965517
Sri Lanka,4,9845.04,216.9
Suriname,2,11041.380000000001,225.70499999999998
Sweden,98,7534.589010989011,163.37591836734694
Switzerland,110,7796.022,147.00100917431195
Syrian Arab Republic,2,10748.01,240.18
Taiwan,25,9582.530999999999,185.04
Thailand,37,8437.081714285714,204.51702702702704
Trinidad and Tobago,2,8625.84,213.155
Tunisia,17,8901.056470588235,204.8264705882353
Turkey,267,8703.522490272373,207.94936329588015
Turkmenistan,2,10847.07,232.775
Ukraine,3,7378.7,156.79999999999998
United Arab Emirates,181,11070.957631578947,235.29215469613257
United Kingdom,573,7044.039155470249,157.0219720767888
United States,7710,5537.352061285289,130.3988773523686
Uzbekistan,10,10213.086,211.975
Vanuatu,1,1744.98,46.11
Viet Nam,20,7591.425,199.07
